signup_date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
2023-01-11,1.0,1.0,1.5,0.5,0.5,1.5,1.5,1.0,1.5,0.5,0.5,2.0,2.0,1.5,3.0,1.5,0.5,1.5,0.0,0.0,0.5,0.0,0.5,1.5,1.5,1.0,1.0,0.5,1.0,2.0,2.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,2.5,0.5,1.5,0.0,1.5,0.0,1.5,0.0,1.5,1.5,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-12,1.0,2.0,2.0,1.0,2.0,4.0,5.0,3.0,1.0,4.0,1.0,3.0,3.0,1.0,4.0,2.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,2.0,4.0,0.0,2.0,1.0,3.0,4.0,2.0,2.0,0.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-13,1.0,2.0,1.0,0.0,6.0,3.0,1.0,2.0,2.0,0.0,4.0,2.0,5.0,2.0,4.0,0.0,3.0,3.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,5.0,2.0,0.0,5.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-14,1.0,4.0,6.0,5.0,6.0,1.0,3.0,5.0,1.0,4.0,2.0,6.0,5.0,5.0,1.0,1.0,5.0,0.0,4.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,4.0,6.0,4.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0,1.0,3.0,2.0,2.0,1.0,4.0,3.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-15,1.0,0.5,0.5,1.0,0.5,0.25,0.5,0.5,0.25,0.5,0.75,0.5,0.25,0.25,0.25,0.0,0.25,1.25,0.0,0.25,0.25,0.25,1.0,0.0,0.5,0.25,0.75,0.25,0.5,0.5,0.5,0.0,0.75,0.5,0.75,0.25,0.5,1.0,0.75,0.5,0.25,0.25,0.5,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-16,1.0,1.33,1.0,0.67,0.67,1.67,0.0,1.33,0.33,1.67,1.67,0.33,1.33,0.33,1.33,0.33,2.0,1.33,0.67,0.67,0.67,1.33,0.0,1.0,1.33,1.0,0.33,1.0,0.0,0.67,1.67,1.0,2.67,2.67,0.33,1.67,1.33,1.33,0.33,1.33,1.0,0.67,0.33,1.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-17,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,inf,inf,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,
2023-01-18,1.0,1.0,0.5,0.0,0.5,0.0,2.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.5,1.0,1.0,2.5,0.0,1.5,0.0,3.0,1.0,0.5,2.0,0.5,1.0,0.0,0.0,2.0,0.5,1.5,1.0,1.0,1.0,0.0,0.5,1.5,0.5,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-19,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,
2023-01-20,1.0,2.5,0.5,0.5,1.5,1.0,0.5,0.5,1.0,0.0,1.5,0.5,1.5,2.0,1.0,2.0,0.0,0.5,1.5,1.5,1.0,1.5,1.0,0.5,1.5,0.5,0.5,0.5,0.5,1.0,2.0,0.5,0.5,1.5,1.0,1.5,2.0,0.5,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-21,1.0,1.0,1.0,0.0,1.5,0.5,0.5,0.0,1.0,1.0,0.0,1.5,0.0,1.0,0.0,0.5,0.5,1.5,0.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.5,0.0,0.5,1.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-22,1.0,0.67,0.33,1.33,0.33,1.0,1.0,0.67,0.67,0.0,1.67,0.67,1.0,1.0,0.0,1.33,1.33,0.0,1.67,0.0,0.33,1.0,0.33,0.67,1.0,0.33,0.33,0.33,0.33,2.0,0.67,1.33,0.33,1.67,1.33,0.0,1.0,0.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-23,,,,inf,inf,inf,,,,inf,,inf,inf,,inf,inf,inf,inf,inf,inf,inf,inf,,inf,inf,,,,,,,inf,inf,,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-24,,inf,inf,inf,inf,inf,,inf,,,,,,inf,inf,inf,,inf,inf,,,inf,,inf,,inf,,,inf,,,inf,,,,inf,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-25,1.0,1.0,0.33,0.33,0.33,0.67,0.67,1.0,0.33,0.67,1.0,0.67,0.67,0.0,1.0,0.33,0.33,0.0,0.0,0.67,0.0,0.33,0.33,0.0,1.0,0.67,0.67,0.33,0.67,0.33,0.67,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-26,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-27,1.0,0.5,3.0,1.5,1.0,1.5,0.5,1.0,2.5,1.0,1.0,0.5,2.0,1.0,1.5,0.5,1.5,1.0,2.0,1.5,2.0,2.0,1.5,1.5,2.0,0.5,0.0,0.5,1.5,1.0,0.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-28,1.0,0.0,0.0,3.0,1.0,1.0,3.0,3.0,4.0,3.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,4.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-29,1.0,5.0,2.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,4.0,5.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,4.0,0.0,2.0,2.0,4.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-30,,,inf,inf,inf,inf,,,,inf,inf,inf,inf,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,inf,,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-31,1.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
